epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,21734.6,1.45531,0.23963,2.01123,0.96396,0.92924,0.98032,0.83561,0.52595,0.08306,0.92161,9.60935e-05,9.60935e-05,9.60935e-05
40,22290.1,1.42842,0.22655,1.97596,0.96217,0.92924,0.97977,0.83463,0.52536,0.08385,0.92066,9.58881e-05,9.58881e-05,9.58881e-05
41,22844.4,1.43319,0.22469,1.97389,0.96618,0.92924,0.98126,0.83735,0.52065,0.08238,0.91888,9.56777e-05,9.56777e-05,9.56777e-05
42,23398.4,1.4375,0.22507,1.95195,0.94918,0.94763,0.9818,0.83843,0.5171,0.08131,0.91789,9.54623e-05,9.54623e-05,9.54623e-05
43,23950.5,1.42057,0.23024,1.96849,0.95178,0.94874,0.98162,0.84043,0.51335,0.0789,0.917,9.52418e-05,9.52418e-05,9.52418e-05
44,24502.9,1.42035,0.2256,1.96135,0.94951,0.95461,0.98182,0.84255,0.51287,0.07778,0.91687,9.50164e-05,9.50164e-05,9.50164e-05
45,25055.5,1.46321,0.22959,2.01188,0.9617,0.94259,0.98228,0.84409,0.51001,0.0759,0.91558,9.47861e-05,9.47861e-05,9.47861e-05
46,25608.2,1.41965,0.22776,1.93559,0.96506,0.94259,0.98289,0.84408,0.50769,0.07503,0.91471,9.45509e-05,9.45509e-05,9.45509e-05
47,26159.5,1.42696,0.21973,1.9656,0.96496,0.94259,0.98296,0.84646,0.50434,0.07407,0.91342,9.43107e-05,9.43107e-05,9.43107e-05
48,26711.9,1.44232,0.23052,1.99541,0.96713,0.94281,0.98313,0.84806,0.50196,0.07301,0.91328,9.40658e-05,9.40658e-05,9.40658e-05
49,27264.3,1.41825,0.22307,1.9413,0.97161,0.93992,0.98347,0.84849,0.50001,0.07335,0.91281,9.3816e-05,9.3816e-05,9.3816e-05
50,27817.9,1.41756,0.22358,1.95122,0.96831,0.93819,0.9834,0.84807,0.49843,0.07369,0.91271,9.35613e-05,9.35613e-05,9.35613e-05
51,28372.7,1.42842,0.22341,1.98433,0.96972,0.94078,0.98378,0.84879,0.49724,0.07365,0.91301,9.33019e-05,9.33019e-05,9.33019e-05
52,28923.9,1.42454,0.21852,1.96868,0.96575,0.94127,0.98381,0.84888,0.49631,0.07324,0.91257,9.30378e-05,9.30378e-05,9.30378e-05
53,29477.6,1.40581,0.21586,1.94863,0.9664,0.94526,0.98314,0.84864,0.49448,0.07227,0.91207,9.27689e-05,9.27689e-05,9.27689e-05
54,30028.6,1.42357,0.22533,1.96269,0.96333,0.94712,0.98225,0.85015,0.49238,0.0717,0.91187,9.24954e-05,9.24954e-05,9.24954e-05
55,30580.5,1.4335,0.22682,1.97014,0.96541,0.94393,0.98225,0.85051,0.49017,0.07057,0.91076,9.22172e-05,9.22172e-05,9.22172e-05
56,31132.8,1.42079,0.21923,1.97206,0.96285,0.94393,0.9823,0.85155,0.48873,0.06939,0.90999,9.19343e-05,9.19343e-05,9.19343e-05
57,31685.4,1.41407,0.21761,1.97614,0.96196,0.94544,0.98231,0.85302,0.48665,0.06854,0.90899,9.16469e-05,9.16469e-05,9.16469e-05
58,32237.5,1.40047,0.21998,1.94635,0.9609,0.95152,0.98227,0.85255,0.48524,0.06805,0.90893,9.13549e-05,9.13549e-05,9.13549e-05
59,32790.2,1.39571,0.21389,1.95408,0.96347,0.95067,0.98299,0.85338,0.48453,0.06806,0.90866,9.10584e-05,9.10584e-05,9.10584e-05
60,33342.5,1.40765,0.21649,1.95144,0.96726,0.94652,0.983,0.85476,0.4832,0.068,0.90802,9.07573e-05,9.07573e-05,9.07573e-05
61,33891.7,1.35569,0.21139,1.89945,0.96785,0.9466,0.98302,0.85465,0.48288,0.06732,0.90775,9.04518e-05,9.04518e-05,9.04518e-05
62,34443.8,1.39762,0.20816,1.9395,0.97258,0.94716,0.9822,0.85469,0.48192,0.06658,0.90684,9.01419e-05,9.01419e-05,9.01419e-05
63,34994.3,1.38081,0.20959,1.9267,0.97265,0.94953,0.9822,0.85534,0.48115,0.06595,0.9063,8.98275e-05,8.98275e-05,8.98275e-05
64,35547.5,1.38312,0.20745,1.9315,0.97125,0.94707,0.98215,0.85365,0.48117,0.06568,0.90652,8.95088e-05,8.95088e-05,8.95088e-05
65,36098.4,1.3514,0.20765,1.90741,0.96971,0.94793,0.98159,0.85358,0.48105,0.06555,0.90635,8.91858e-05,8.91858e-05,8.91858e-05
66,36652.9,1.38829,0.20731,1.96713,0.96792,0.9506,0.98206,0.85416,0.48085,0.06557,0.90632,8.88584e-05,8.88584e-05,8.88584e-05
67,37206.3,1.3727,0.21266,1.91712,0.9692,0.94927,0.98212,0.85418,0.48062,0.06578,0.90596,8.85268e-05,8.85268e-05,8.85268e-05
68,37758.1,1.38764,0.20822,1.95601,0.96762,0.95194,0.98215,0.85484,0.48076,0.06598,0.90579,8.8191e-05,8.8191e-05,8.8191e-05
69,38309.7,1.33554,0.19769,1.91178,0.96695,0.95594,0.98201,0.85364,0.48072,0.06593,0.90572,8.7851e-05,8.7851e-05,8.7851e-05
70,38863.6,1.35038,0.2047,1.92634,0.96625,0.95561,0.98197,0.85426,0.48023,0.06577,0.90521,8.75068e-05,8.75068e-05,8.75068e-05
71,39416.7,1.36162,0.19992,1.92324,0.95779,0.95861,0.98211,0.85533,0.47955,0.06539,0.90457,8.71585e-05,8.71585e-05,8.71585e-05
72,39972.4,1.38838,0.20767,1.94147,0.95751,0.95861,0.98212,0.85425,0.47894,0.065,0.90419,8.68062e-05,8.68062e-05,8.68062e-05
73,40529.6,1.33128,0.19961,1.89568,0.96116,0.95805,0.98208,0.85492,0.47837,0.06501,0.90418,8.64498e-05,8.64498e-05,8.64498e-05
74,41083.8,1.33168,0.20131,1.91163,0.95919,0.95861,0.98224,0.85598,0.47775,0.06484,0.90408,8.60894e-05,8.60894e-05,8.60894e-05
75,41637.1,1.33668,0.20438,1.91638,0.95983,0.95861,0.9822,0.85501,0.47736,0.06468,0.90379,8.57251e-05,8.57251e-05,8.57251e-05
76,42190.1,1.34562,0.201,1.90273,0.95992,0.95916,0.98312,0.85624,0.47682,0.06439,0.90337,8.53568e-05,8.53568e-05,8.53568e-05
77,42745.4,1.3328,0.19672,1.90998,0.96256,0.96118,0.98355,0.85581,0.47672,0.06404,0.90331,8.49847e-05,8.49847e-05,8.49847e-05
78,43298,1.33331,0.20062,1.88882,0.96439,0.95594,0.98359,0.85551,0.47669,0.0637,0.90341,8.46087e-05,8.46087e-05,8.46087e-05
79,43849.9,1.3443,0.20166,1.92459,0.96381,0.95997,0.98364,0.85644,0.47637,0.06298,0.90357,8.42289e-05,8.42289e-05,8.42289e-05
80,44401.3,1.33496,0.19873,1.8993,0.96386,0.96262,0.98371,0.85784,0.47572,0.06254,0.90341,8.38454e-05,8.38454e-05,8.38454e-05
81,44955,1.32756,0.19496,1.90458,0.96207,0.96128,0.98364,0.85764,0.47529,0.06212,0.90323,8.34582e-05,8.34582e-05,8.34582e-05
82,45507.1,1.312,0.19698,1.89652,0.96377,0.95995,0.98376,0.85839,0.47455,0.06183,0.90288,8.30673e-05,8.30673e-05,8.30673e-05
83,46057.4,1.3117,0.19487,1.88364,0.96506,0.95995,0.9837,0.85947,0.474,0.06162,0.90264,8.26728e-05,8.26728e-05,8.26728e-05
84,46611.9,1.32968,0.19505,1.91462,0.96704,0.95995,0.98379,0.86029,0.47369,0.06132,0.9027,8.22747e-05,8.22747e-05,8.22747e-05
85,47167,1.36671,0.20159,1.92665,0.96381,0.9601,0.98368,0.85938,0.47344,0.06109,0.90264,8.1873e-05,8.1873e-05,8.1873e-05
86,47717.9,1.33636,0.19642,1.90136,0.96502,0.95995,0.98383,0.86071,0.47267,0.06081,0.90233,8.14679e-05,8.14679e-05,8.14679e-05
87,48269.3,1.31501,0.19544,1.90291,0.96619,0.96128,0.98391,0.86059,0.47182,0.06046,0.90177,8.10593e-05,8.10593e-05,8.10593e-05
88,48822.8,1.33862,0.19337,1.92337,0.9664,0.95997,0.98398,0.86071,0.47123,0.06016,0.90152,8.06473e-05,8.06473e-05,8.06473e-05
89,49374.8,1.29216,0.18748,1.89613,0.968,0.96128,0.98413,0.86085,0.47076,0.05982,0.9015,8.02319e-05,8.02319e-05,8.02319e-05
90,49923,1.34339,0.1973,1.93096,0.96692,0.96128,0.98416,0.86047,0.47036,0.05975,0.90152,7.98133e-05,7.98133e-05,7.98133e-05
91,50478.8,1.31189,0.18661,1.89841,0.96833,0.96128,0.98424,0.86083,0.46986,0.05944,0.90134,7.93913e-05,7.93913e-05,7.93913e-05
